z_real,z_imag,target_real,target_imag
0.021346469622331693,0.0,0.15866804992747258,0.0
0.06431308155446087,0.0,0.48894591641053936,0.0
0.10700602079912426,0.0,0.8124987739575481,0.0
0.14997263273125344,0.0,0.9655778500398023,0.0
0.19239189928845102,0.0,0.9663876220306876,0.0
0.23535851122058019,0.0,0.9276937639194999,0.0
0.36316365626710456,0.0,0.9660745709187117,0.0
0.4064039408866995,0.0,1.0,0.0
0.7060755336617406,0.0,0.8855107306031662,0.0
0.8760262725779967,0.0,0.8815846535090966,0.0
1.0,0.0,0.9014366785368882,0.0
