# re(psi) im(psi) re(|psi|^2) im(|psi|^2)
1.0 0.0 1.0 0.0
0.9510565162951535 0.3090169943749474 0.9999999999999999 0.0
0.8090169943749475 0.5877852522924731 1.0 0.0
0.587785252292473 0.8090169943749475 0.9999999999999999 0.0
0.30901699437494745 0.9510565162951535 0.9999999999999999 0.0
6.123233995736766e-17 1.0 1.0 0.0
-0.30901699437494756 0.9510565162951535 1.0 0.0
-0.587785252292473 0.8090169943749475 0.9999999999999999 0.0
-0.8090169943749473 0.5877852522924732 1.0 0.0
-0.9510565162951535 0.3090169943749475 1.0 0.0
-1.0 1.2246467991473532e-16 1.0 0.0
-0.9510565162951535 -0.30901699437494773 1.0 0.0
-0.8090169943749472 -0.5877852522924734 1.0 0.0
-0.5877852522924732 -0.8090169943749473 1.0 0.0
-0.30901699437494756 -0.9510565162951535 1.0 0.0
-1.8369701987210297e-16 -1.0 1.0 0.0
0.30901699437494723 -0.9510565162951536 1.0 0.0
0.5877852522924737 -0.809016994374947 1.0 0.0
0.8090169943749473 -0.5877852522924734 1.0000000000000002 0.0
0.9510565162951535 -0.3090169943749477 1.0 0.0
1.0 -2.4492935982947064e-16 1.0 0.0
0.9510565162951536 0.3090169943749472 1.0 0.0
0.809016994374947 0.5877852522924736 0.9999999999999999 0.0
0.5877852522924726 0.8090169943749478 1.0 0.0
0.30901699437494684 0.9510565162951538 1.0 0.0
3.061616997868383e-16 1.0 1.0 0.0
-0.3090169943749471 0.9510565162951536 0.9999999999999999 0.0
-0.5877852522924729 0.8090169943749477 1.0000000000000002 0.0
-0.8090169943749472 0.5877852522924734 1.0 0.0
-0.951056516295154 0.30901699437494606 1.0 0.0
-1.0 3.6739403974420594e-16 1.0 0.0
-0.9510565162951536 -0.30901699437494706 0.9999999999999999 0.0
-0.8090169943749477 -0.5877852522924728 1.0 0.0
-0.5877852522924735 -0.8090169943749472 1.0 0.0
-0.3090169943749461 -0.951056516295154 1.0 0.0
-4.286263797015736e-16 -1.0 1.0 0.0
0.309016994374947 -0.9510565162951538 1.0 0.0
0.5877852522924728 -0.8090169943749477 1.0 0.0
0.8090169943749471 -0.5877852522924735 0.9999999999999998 0.0
0.951056516295154 -0.3090169943749462 1.0 0.0
