# re(X) im(X) re(|X|^2) im(|X|^2)
4.278346640211359e-05 1.092441250761134e-05 1.9497677860172377e-09 0.0
6.916819186274889e-05 2.722643852590106e-05 5.525517720366711e-09 0.0
0.00010830229203277724 5.916581179329552e-05 1.5229979744712632e-08 0.0
0.00016386344233702835 0.00011822492409337621 4.082836041142518e-08 0.0
0.00023872992266794823 0.00022239995084018276 1.0645371411076025e-07 0.0
0.0003330457388424597 0.00039879617121429527 2.6995785033630136e-07 0.0
0.00044088010884983306 0.000686630087169424 6.658361469857315e-07 0.0
0.0005449323867012451 0.0011403098599759621 1.5972578828343137e-06 0.0
0.0006087153587310391 0.0018319712836514697 3.726653172078671e-06 0.0
0.0005657514907317825 0.002852471072497649 8.456665968701123e-06 0.0
0.0003056016509317624 0.004309417216337763 1.8664469113520534e-05 0.0
-0.0003429258473969773 0.006320419231042996 4.0065297392951075e-05 0.0
-0.001630228984778923 0.008999483356666336 8.36483472297277e-05 0.0
-0.003903792463896221 0.01243451168965784 0.0001698566765614104 0.0
-0.007621995182886547 0.016654363312194376 0.0003354626279025118 0.0
-0.013359080130384301 0.021585059616285034 0.0006443798205686077 0.0
-0.021795542718818204 0.026996561122120254 0.001203859994828204 0.0
-0.03368787239979611 0.032444080682890994 0.0021874911181828847 0.0
-0.04981232525721902 0.03721091764444709 0.0038659201394728037 0.0
-0.07087956354528946 0.04026287066728698 0.006645011282741405 0.0
-0.09742075396854838 0.04022677260782763 0.011108996538242306 0.0
-0.12965096144646152 0.035406801829442676 0.018063013419781275 0.0
-0.16732191407756988 0.023851160432328926 0.028565500784550373 0.0
-0.20958253311272196 0.003477849545655135 0.04393693362340741 0.0
-0.25487074794956793 -0.0277386094849447 0.06572852861653045 0.0
-0.3008626022280047 -0.07152719352198908 0.09563444483253866 0.0
-0.34450316280179827 -0.12904593777477216 0.1353352832366127 0.0
-0.3821373855050822 -0.20060279733104705 0.18627046369770095 0.0
-0.4097477827393822 -0.2854101668081503 0.24935220877729614 0.0
-0.42329042129928607 -0.3814153727822499 0.32465246735834974 0.0
-0.4191034707200927 -0.48524691790629637 0.41111229050718756 0.0
-0.3943461023438021 -0.5923063128266929 0.5063356166481006 0.0
-0.3474132864632193 -0.6970184130289949 0.6065306597126334 0.0
-0.27826697636000797 -0.7932312195855474 0.7066482778577162 0.0
-0.18862836914997783 -0.8747323826569059 0.800737402916808 0.0
-0.08198989945871539 -0.9358282742957413 0.8824969025845956 0.0
0.03657202224805942 -0.9719166405075349 0.9459594689067654 0.0
0.16077495199503908 -0.9799788424016659 0.9862071167439163 0.0
0.28366218546322625 -0.9589242746631385 0.9999999999999999 0.0
0.3982274936837623 -0.9097373137440639 0.9862071167439161 0.0
0.4980566278316762 -0.835403533856366 0.9459594689067653 0.0
0.5779057276916999 -0.7406226248810673 0.8824969025845953 0.0
0.6341455766737847 -0.6313452229183976 0.8007374029168081 0.0
0.6650204266169321 -0.514194622725627 0.7066482778577162 0.0
0.6706973288605484 -0.39584814357523374 0.6065306597126335 0.0
0.6531117253697173 -0.2824547589131604 0.5063356166481006 0.0
0.6156423573533826 -0.17915573766853657 0.4111122905071875 0.0
0.5626689558542903 -0.08975585482960058 0.3246524673583497 0.0
0.49907685460490975 -0.016568101127345195 0.24935220877729614 0.0
0.4297727570245784 0.03957070908125882 0.18627046369770092 0.0
0.35926651000777093 0.07913822100255291 0.1353352832366127 0.0
0.29135754697200383 0.10365917545010299 0.09563444483253866 0.0
0.22894517734542907 0.11538038995774137 0.06572852861653043 0.0
0.17396271295327445 0.11693548702316182 0.04393693362340741 0.0
0.1274195194986692 0.11103948322681727 0.028565500784550373 0.0
0.08952438280282149 0.10024169942471625 0.01806301341978128 0.0
0.059858767474566296 0.08675208639951036 0.011108996538242308 0.0
0.037569172136205115 0.07234340735506999 0.006645011282741405 0.0
0.0215525791662834 0.05832157808867908 0.0038659201394728045 0.0
0.010616269790938635 0.04554981815450956 0.0021874911181828847 0.0
0.003601320184281297 0.03450928118287155 0.001203859994828204 0.0
-0.0005335043190082494 0.02537903059043444 0.0006443798205686077 0.0
-0.00266492607753718 0.018120728376745072 0.00033546262790251174 0.0
-0.003489075750895979 0.012557190249650598 0.00016985667656141038 0.0
-0.0035280302061208107 0.008438089244279585 8.364834722972767e-05 0.0
