# re(dF) im(dF) re(|dF|^2) im(|dF|^2)
0.8 0.0 0.6400000000000001 0.0
0.7763499399241087 0.07789481664584469 0.608786831680457 0.0
0.7458145334498468 0.15118409055850246 0.5790959475430142 0.0
0.7090457640306155 0.21933355744682054 0.550853104912037 0.0
0.666728361333764 0.28188822991232226 0.5239876819699084 0.0
0.6195711141044065 0.33847324227052844 0.4984325011656993 0.0
0.568298357584352 0.38879382454358447 0.47412366123629957 0.0
0.5136417151171526 0.432634448364305 0.4510003774199767 0.0
0.45633216705462987 0.4698571940217948 0.42900482946280916 0.0
0.3970925131253018 0.5003993935425651 0.40808201703793495 0.0
0.33663028712431436 0.5242706095202049 0.3881796222160855 0.0
0.2756311752302691 0.5415490133724669 0.3692478786435116 0.0
0.2147529815373056 0.5523772298176443 0.3512394471001769 0.0
0.15462017659878186 0.5569577166317132 0.3341092971270503 0.0
0.09581905699625463 0.555547750191512 0.3178145944265022 0.0
0.03889353625430967 0.5484540879525689 0.30231459375424946 0.0
-0.015658420106574877 0.5360273788854333 0.28757053703502183 0.0
-0.0673877098805993 0.5186563920402729 0.2735455564471851 0.0
-0.1158963613469986 0.49676213187048524 0.26020458223398346 0.0
-0.16083916043476942 0.470791906771473 0.24751425501088078 0.0
-0.201924652246611 0.44121341453406465 0.23544284234972315 0.0
-0.2389155370845888 0.4085089051302577 0.22396015943113945 0.0
-0.27162848640734105 0.37316947750161433 0.21303749356677093 0.0
-0.29993340891478726 0.33568956286925145 0.2026475324025941 0.0
-0.32375220117731535 0.2965616425916414 0.1927642956238093 0.0
-0.3430570208852164 0.2562712438255254 0.1833630699905217 0.0
-0.35786812388021666 0.2152922512591245 0.1744203475417681 0.0
-0.3682513086403254 0.1740825680476319 0.16591376681337058 0.0
-0.3743150138239989 0.13308015384935376 0.15782205692262816 0.0
-0.3762071158478121 0.09269946259553713 0.15012498438003047 0.0
-0.3741114742868985 0.05332829738401895 0.1428033024949951 0.0
-0.3682442731678958 0.01532509471956687 0.13583870324911557 0.0
-0.35885020599319234 -0.02098335471803574 0.1292137715165795 0.0
-0.34619855162024094 -0.0553037464673958 0.12291194151728262 0.0
-0.33057918695160177 -0.0873776661863207 0.11691745539375016 0.0
-0.31229858080438944 -0.1169825638112328 0.1112153238082849 0.0
-0.29167581135879417 -0.1439323088469178 0.10579128846181542 0.0
-0.26903864727333965 -0.1680773414653302 0.10063178644072167 0.0
-0.2447197299401972 -0.18930443756151985 0.09572391630248642 0.0
-0.21905289147902107 -0.2075361090269568 0.09105540581536867 0.0
-0.19236963997486697 -0.22272966324082702 0.08661458127143215 0.0
-0.16499584019746916 -0.23487594813800308 0.08239033829619469 0.0
-0.1372486146378805 -0.24399781118258212 0.07837211408190842 0.0
-0.10943348620591387 -0.25014830215665695 0.07454986097503809 0.0
-0.08184178038860596 -0.25340865086795455 0.0709140213518937 0.0
-0.05474830111518275 -0.25388605169365736 0.06745550371959318 0.0
-0.028409291045130194 -0.2517112873212234 0.0641656599825944 0.0
-0.003060683528246491 -0.24703622413381338 0.061036263817951755 0.0
0.02108334988813051 -0.24003121143451042 0.05805949010522398 0.0
0.04383155577877524 -0.23088241612909638 0.05522789535959711 0.0
0.06501646145844736 -0.21978912361333408 0.05253439911929522 0.0
0.08449494928994422 -0.20696103446114625 0.049972266240738014 0.0
0.10214855079665511 -0.19261558511012772 0.047535090057173685 0.0
0.1178834711995044 -0.17697531911718803 0.04521677635867492 0.0
0.1316303572715673 -0.16026533373752233 0.043011528153439865 0.0
0.14334382343267446 -0.1427108245929337 0.04091383117229284 0.0
0.153001752781866 -0.12453474906955189 0.0389184400801395 0.0
0.16060439128161752 -0.10595562684896787 0.03702036535989662 0.0
0.16617325456128462 -0.08718549365927292 0.03521486083610062 0.0
0.16974986779801682 -0.06842802196141974 0.03349741180699673 0.0
0.17139435986404794 -0.04987681988886371 0.03186372375543292 0.0
0.17118393340488194 -0.03171391736072865 0.030309711610330182 0.0
0.1692112327409852 -0.01410844591559015 0.028831489531876996 0.0
0.16558263147587615 0.0027844835122318914 0.027425361194905705 0.0
0.16041646145766703 0.018824702907488375 0.02608781054615437 0.0
0.1538412042926333 0.033887709779422424 0.024815493012302094 0.0
0.14599366596327829 0.04786519231546361 0.023605227136793597 0.0
0.1370171542759505 0.06066536127528788 0.022453986624540817 0.0
0.12705967787176747 0.0722130946140059 0.021358892774608687 0.0
0.11627218439767038 0.08244990247027356 0.020317207281963488 0.0
0.10480685417073321 0.09133372164276732 0.01932632539028384 0.0
0.0928154642976719 0.09883854999908093 0.01838376937871323 0.0
0.0804478367522579 0.10495393240917322 0.01748718236626724 0.0
0.06785038238545868 0.10968431076754076 0.01663432241840342 0.0
0.05516475126576908 0.1130482514628291 0.01582305694101721 0.0
0.04252659813909731 0.11507756427106702 0.015051357347845837 0.0
0.030064470176899602 0.11581632709134015 0.014317293987945977 0.0
0.01789882256538885 0.11531983121447115 0.013619031320561388 0.0
0.006141165894088599 0.1136534619216506 0.0129548233253148 0.0
-0.005106652255765955 0.11089152915794023 0.012323009136247629 0.0
-0.01575303062914035 0.10711606282340312 0.01172200888878988 0.0
-0.025717063070011866 0.10241558688172853 0.011150319769275852 0.0
-0.03492885466407143 0.0968838860130175 0.010606512257127193 0.0
-0.043329708446238346 0.09061877794514145 0.010089226550306873 0.0
-0.050872187052341956 0.08372090389871135 0.00959716916510573 0.0
-0.05752005477563524 0.07629254878667671 0.009129109701759525 0.0
-0.06324810646084773 0.06843650193373323 0.008683877767808601 0.0
-0.06804189052650496 0.06025496813613155 0.008260360051507114 0.0
-0.0718973341469251 0.05184853788227013 0.007857497537963803 0.0
-0.07482027924670427 0.04331522451169194 0.007474282861053084 0.0
-0.07682593846199466 0.03474957501767302 0.007109757784475076 0.0
-0.07793828060513187 0.026241860109020954 0.006763010805665701 0.0
-0.07818935543402569 0.01787734805213256 0.00643317487656549 0.0
-0.0776185676781818 0.009735665726356634 0.006119425235547844 0.0
-0.0762719103132895 0.001890249255216427 0.005820977345085324 0.0
-0.07420116701096167 -0.005592114466691387 0.005537084929997205 0.0
-0.07146309352526664 -0.012651655036864044 0.0052670381113728145 0.0
-0.06811858751971091 -0.01923589524363178 0.00501016163150449 0.0
-0.06423185599452669 -0.025299838752252213 0.004765813165391576 0.0
-0.059869589052235855 -0.030806071176145727 0.004533381714593356 0.0
-0.05510014824767461 -0.035724777710980656 0.0043122860794147 0.0
-0.049992777215476514 -0.04003368121829186 0.004101973405604082 0.0
-0.04461684166214689 -0.04371790527947237 0.0039019178019300046 0.0
-0.03904110516015791 -0.046769767297394835 0.003711619025178972 0.0
-0.03333304649682503 -0.04918850719962332 0.0035306012292868946 0.0
-0.027558223619875227 -0.05097995769312718 0.003358411775476086 0.0
-0.021779688493232703 -0.052156162335435345 0.0031946201004225375 0.0
-0.016057456439021726 -0.052734947921964086 0.0030388166396233445 0.0
-0.010448032803198705 -0.05273945784529256 0.002890611803272107 0.0
-0.005003999050285161 -0.052197653161672346 0.002749635002081498 0.0
0.00022634032537833246 -0.05114178810595217 0.0026155337206170033 0.0
0.0051992493818296395 -0.04960786673190318 0.002487972635824722 0.0
0.009875790785633727 -0.04763508722472823 0.002366632778549074 0.0
0.014221994960511028 -0.04526528024089723 0.002251210735943762 0.0
0.01820896954747646 -0.042542347382351735 0.0021414178927816148 0.0
0.02181295095411923 -0.03951170561288611 0.0020369797097661868 0.0
0.025015300283597983 -0.03621974307973406 0.0019376350370405204 0.0
0.02780244639813789 -0.032713291418858224 0.0018431354611764734 0.0
0.030165779284864552 -0.02903911920407698 0.0017532446840117558 0.0
0.032101497251908646 -0.025243450753950826 0.001667737931781439 0.0
0.03361041178872578 -0.02137151404226553 0.0015864013930664694 0.0
0.03469771417596024 -0.017467120973907388 0.0015090316841537474 0.0
