# re(S) im(S) re(|S|^2) im(|S|^2)
1.0 0.1 1.01 0.0
0.9019345307206975 0.39612048146678985 0.9703973335438463 0.0
0.7208211980009948 0.6424673613211125 0.9323475098505021 0.0
0.47736495273599566 0.8172590427665453 0.8957896410843292 0.0
0.19746505716582263 0.9064616804114621 0.8606652268558732 0.0
-0.0904837418035959 0.9048374180359595 0.8269180606087615 0.0
-0.3584246336815713 0.8161041120147909 0.794494139677219 0.0
-0.5813285083901713 0.6522259916648073 0.7633415788702828 0.0
-0.7394865621234207 0.43193767129449623 0.733410527444428 0.0
-0.8202004464520446 0.17867377247824615 0.7046530893317413 0.0
-0.8187307530779818 -0.0818730753077981 0.6770232464959955 0.0
-0.738441537563993 -0.3243160201009176 0.6504767852939729 0.0
-0.5901584822739276 -0.5260077865624583 0.6249712257242024 0.0
-0.39083336724657697 -0.6691151115440441 0.6004657534498963 0.0
-0.16167071495996083 -0.7421480542396093 0.576921154487303 0.0
0.07408182206817165 -0.7408182206817179 0.5542997524549668 0.0
0.2934532702558126 -0.6681695342199074 0.532565348283479 0.0
0.4759515274599847 -0.5339974773327613 0.5116831622892455 0.0
0.6054403898983559 -0.3536406549016928 0.4916197785195714 0.0
0.6715233291985794 -0.14628571229639858 0.47234309128000834 0.0
0.6703200460356393 0.06703200460356377 0.4538222537583938 0.0
0.6045847961538308 0.26552749937247805 0.43602762866337047 0.0
0.4831808986274916 0.4306587512171637 0.4189307407983972 0.0
0.3199872970937935 0.547825119170313 0.4025042314953593 0.0
0.13236478620982456 0.6076194353429543 0.3867218148348631 0.0
-0.06065306597126316 0.6065306597126334 0.37155823558315676 0.0
-0.24025921694973795 0.5470509459356293 0.3569892287783681 0.0
-0.389676152505929 0.43720015675839424 0.34299148090138853 0.0
-0.49569266636530784 0.2895364797066536 0.3295425925692698 0.0
-0.5497968010241864 0.11976861139297948 0.3166210426914313 0.0
-0.5488116360940264 -0.05488116360940244 0.304206154031324 0.0
-0.494992165454524 -0.21739552952414226 0.2922780601184411 0.0
-0.39559506100618225 -0.3525935637036516 0.28081767345772607 0.0
-0.26198344072498947 -0.4485212723733455 0.2698066549855088 0.0
-0.10837112109457578 -0.49747671788315495 0.25922738472309137 0.0
0.04965853037914161 -0.4965853037914094 0.24906293358102252 0.0
0.1967076096271851 -0.4478874329379001 0.23929703626894303 0.0
0.3190398497977098 -0.35794921358861187 0.2299140652676509 0.0
0.4058388300285013 -0.2370524200737764 0.22089900582173688 0.0
0.45013554894239743 -0.09805824540087829 0.21223743191277233 0.0
0.44932896411722156 0.044932896411721934 0.20391548317460192 0.0
0.4052653083902832 0.17798840560308832 0.19591984271380083 0.0
0.3238858422115218 0.28867919394154 0.18823771579980406 0.0
0.21449389971873153 0.36721815910172373 0.18085680939060814 0.0
0.08872676958566725 0.40729948787123826 0.17376531246128105 0.0
-0.04065696597405969 0.4065696597405991 0.16695187710380238 0.0
-0.16105056936623485 0.36669921526341104 0.16040560036798987 0.0
-0.2612077364867656 0.2930640292050751 0.1541160068144527 0.0
-0.33227273093752197 0.19408210640596113 0.1480730317516537 0.0
-0.3685398169727799 0.08028330110256669 0.14226700513025548 0.0
-0.36787944117144233 -0.03678794411714401 0.13668863606897882 0.0
-0.33180317113475716 -0.14572458135856572 0.13132899798721018 0.0
-0.2651752995051357 -0.2363505338537018 0.12617951432056826 0.0
-0.17561275204734966 -0.3006527999452647 0.12123194479657129 0.0
-0.07264333488104996 -0.3334686164330952 0.11647837224844315 0.0
0.033287108369808326 -0.3328710836980795 0.11191118994595721 0.0
0.1318570539408552 -0.30022792466571746 0.10752308942304532 0.0
0.21385880680360456 -0.23994053333113885 0.10330704878269281 0.0
0.27204190322775496 -0.15890098913671358 0.09925632146040517 0.0
0.30173488188934555 -0.06573040757129137 0.09536442542826538 0.0
0.30119421191220214 0.03011942119121999 0.09162513282230664 0.0
0.27165746017682263 0.11930919623767117 0.0880324599766011 0.0
0.21710717266151913 0.19350745057242427 0.08458065784811791 0.0
0.14377956073382356 0.2461536933141904 0.08126420281702776 0.0
0.0594753322732581 0.2730210114601407 0.07807778784773273 0.0
-0.02725317930340153 0.2725317930340126 0.07501631399647724 0.0
-0.10795542507164041 0.24580583485660248 0.0720748822519499 0.0
-0.1750927819466738 0.19644669354813593 0.06924878569582069 0.0
-0.22272907229842723 0.13009712650073774 0.06653350197066699 0.0
-0.2470396270791599 0.05381550609096521 0.06392468604323712 0.0
-0.24659696394160638 -0.02465969639416131 0.06141816325147013 0.0
-0.2224143169498219 -0.09768210808479721 0.05900992262414583 0.0
-0.17775231897179702 -0.1584305007333613 0.056696110462475066 0.0
-0.11771674803682551 -0.20153359870005327 0.05447302417335957 0.0
-0.04869428358164783 -0.22353069831887334 0.052337106344453106 0.0
0.022313016014842382 -0.22313016014842987 0.050284939051542576 0.0
0.08838642646775778 -0.2012487962831082 0.04831323838914034 0.0
0.14335384522171907 -0.1608369493483449 0.046418849215534644 0.0
0.18235514109525158 -0.1065145183532305 0.0445987401038898 0.0
0.2022589399186244 -0.04406040982912868 0.042849998491316495 0.0
0.2018965179946554 0.02018965179946534 0.04116982601814987 0.0
0.1820974412116523 0.07997534591451146 0.039555534049976936 0.0
0.14553128997313655 0.12971192317594712 0.03800453937524796 0.0
0.09637832177008061 0.16500175503421072 0.03651436007158688 0.0
0.039867507467395355 0.18301145697065832 0.035082611534185945 0.0
-0.018268352405272952 0.18268352405273472 0.03370700265992935 0.0
-0.07236468550381897 0.16476857853690655 0.03238533218113937 0.0
-0.11736820165500203 0.13168215666273606 0.031115485143078582 0.0
-0.14929976199655698 0.08720671182507896 0.029895429519570926 0.0
-0.16559561419632965 0.036073612520327064 0.02872321296132635 0.0
-0.16529888822158656 -0.01652988882215847 0.027596959671765488 0.0
-0.14908877517678965 -0.06547827518826005 0.026514867405344842 0.0
-0.11915094263611666 -0.10619914054503608 0.02547520458357949 0.0
-0.07890789596321018 -0.135092011158348 0.024476307524148026 0.0
-0.03264075441212215 -0.14983710798748587 0.023516577778645974 0.0
0.014956861922263595 -0.14956861922263504 0.02259447957472725 0.0
0.059247193458793014 -0.13490110238911016 0.02170853735854083 0.0
0.09609295612840825 -0.10781223129141469 0.02085733343352969 0.0
0.12223630657380453 -0.07139881684600147 0.020039505691813994 0.0
0.13557822191737184 -0.0295345759450112 0.019253745434527764 0.0
0.13533528323661273 0.013533528323661104 0.018498795277621525 0.0
0.12206356517596693 0.053609077555131474 0.01777344713977963 0.0
0.0975525409944189 0.08694850231467216 0.01707654030923233 0.0
0.06460432108575853 0.11060398403049317 0.016406959586369372 0.0
0.026723989440870677 0.12267624826162109 0.015763633499182656 0.0
-0.012245642825298253 0.1224564282529819 0.015145532588682483 0.0
-0.04850749931827485 0.1104476811500859 0.014551667761543475 0.0
-0.07867425833650175 0.08826918931623697 0.013981088707344297 0.0
-0.10007862333464204 0.05845640708520368 0.013432882377868209 0.0
