# re(Psi4) im(Psi4) re(|Psi4|^2) im(|Psi4|^2)
0.1 -0.0 0.010000000000000002 0.0
0.09776194715540319 -0.019817327779268742 0.009950124791926822 0.0
0.0916467183130487 -0.038747611022363494 0.009900498337491681 0.0
0.08191687524392605 -0.056042349578704166 0.009851119396030627 0.0
0.0689774361761091 -0.07102182785340257 0.009801986733067553 0.0
0.05335905628310299 -0.08310180643560028 0.009753099120283328 0.0
0.035696295034272615 -0.09181628317630401 0.009704455335485083 0.0
0.01670185929605266 -0.09683543803087033 0.009656054162575669 0.0
-0.002862133302091431 -0.09797807195737365 0.00960789439152323 0.0
-0.022214712917908348 -0.09521807259289548 0.009559974818330999 0.0
-0.040587213454366236 -0.08868467933649449 0.009512294245007139 0.0
-0.05725378376321476 -0.07865656822115928 0.009464851479534839 0.0
-0.07156004377137412 -0.06555002266423338 0.00941764533584249 0.0
-0.08294875502691022 -0.049901690084201276 0.009370674633774036 0.0
-0.09098149954685385 -0.032346637217264454 0.009323938199059485 0.0
-0.09535552463110487 -0.013592600399198148 0.009277434863285531 0.0
-0.09591510777445351 0.0056085260524781945 0.009231163463866359 0.0
-0.09265701698510395 0.024490815573123097 0.009185122844014572 0.0
-0.08572987878280831 0.0423048429449546 0.009139311852712282 0.0
-0.07542750939913376 0.05834740928718173 0.009093729344682312 0.0
-0.06217650453026566 0.0719892802072465 0.009048374180359598 0.0
-0.04651860987734889 0.08269984377821808 0.009003245225862658 0.0
-0.029088599691249307 0.09006772296981608 0.008958341352965285 0.0
-0.010588565574153731 0.09381654288104077 0.008913661439068314 0.0
0.008240343932794696 0.09381524982134211 0.008869204367171576 0.0
0.02664759624503736 0.09008259898674896 0.008824969025845954 0.0
0.04390317287254691 0.08278566132446412 0.008780954309205613 0.0
0.05932650252210901 0.07223243880262205 0.008737159116880347 0.0
0.07231328320528849 0.05885891118649584 0.008693582353988063 0.0
0.08235913707062774 0.04321105728964482 0.008650222931107414 0.0
0.08907917292060966 0.025922590843330096 0.008607079764250578 0.0
0.09222269875341807 0.007689317880828922 0.008564151774836135 0.0
0.09168252334903705 -0.010758847615585525 0.008521437889662115 0.0
0.08749850392997316 -0.028687085088862366 0.008478937040879158 0.0
0.07985522749141116 -0.045384918290758317 0.008436648165963838 0.0
0.06907394728094755 -0.06019435201678768 0.008394570207692074 0.0
0.05559912379517732 -0.07253578115193403 0.008352702114112721 0.0
0.03998013251537663 -0.08193065264340436 0.008311042838521259 0.0
0.0228488900363051 -0.08801999524848012 0.008269591339433625 0.0
0.004894308833200684 -0.09057810067342678 0.008228346580560182 0.0
-0.01316538749155307 -0.0895208361387285 0.008187307530779819 0.0
-0.03061137669065016 -0.08490828452640688 0.008146473164114145 0.0
-0.04675283096020694 -0.0769416353927325 0.008105842459701869 0.0
-0.0609542539814801 -0.06595447917567455 0.00806541440177327 0.0
-0.07266048088969784 -0.05239887877142639 0.008025187979624785 0.0
-0.08141835848904344 -0.03682679851064136 0.00798516218759377 0.0
-0.08689425997232007 -0.01986765232472611 0.00794533602503334 0.0
-0.08888675829845469 -0.00220288344663345 0.007905708496287354 0.0
-0.08733397830910082 0.015461398493378303 0.007866278610665533 0.0
-0.08231536170456276 0.032422624968772726 0.007827045382418681 0.0
-0.07404780254568896 0.04800969453004996 0.00778800783071405 0.0
-0.06287633506360801 0.06160950793976289 0.0077491649796108085 0.0
-0.04925977132652136 0.07269106400992138 0.007710515858035664 0.0
-0.033751885192022005 0.08082616993117467 0.007672059499758558 0.0
-0.016978913138687327 0.08570595925603681 0.007633794943368532 0.0
0.00038571478192995704 0.0871525814669691 0.0075957212322496845 0.0
0.017648395018684527 0.08512562227567988 0.007557837414557256 0.0
0.03412303820245681 0.07972302557622547 0.007520142543193827 0.0
0.0491583198692948 0.07117650780569211 0.007482635675785654 0.0
0.06216341254679481 0.059841674568782637 0.0074453158746590935 0.0
0.07263118332189177 0.04618325904566429 0.007408182206817181 0.0
0.08015794688171994 0.030756093634004337 0.007371233743916277 0.0
0.08445900555891266 0.014182592930859139 0.007334469562242894 0.0
0.08537937931119098 -0.0028723389643881617 0.0072978887426905685 0.0
0.08289932285631334 -0.019727965954493033 0.007261490370736911 0.0
0.07713443652559172 -0.035714874188497225 0.007225273536420724 0.0
0.068330393390879 -0.05020154054774597 0.0071892373343192635 0.0
0.05685251923728096 -0.06261926157261996 0.007153380863525601 0.0
0.04317066549446219 -0.07248445949575225 0.007117703227626096 0.0
0.02784000026002756 -0.07941749127364617 0.007082203534678 0.0
0.011478501782501703 -0.08315722995636785 0.007046880897187137 0.0
-0.005257933985772436 -0.083570859528229 0.007011734432085724 0.0
-0.02170176980529816 -0.08065851751692538 0.006976763260710309 0.0
-0.03720043552707092 -0.07455262641500988 0.00694196650877979 0.0
-0.05114220846627106 -0.06551196699509197 0.006907343306373547 0.0
-0.06298034004896576 -0.053910755468889175 0.006872892787909724 0.0
-0.072254477876513 -0.04022318384857239 0.006838614092123561 0.0
-0.07860854466557857 -0.025004061022274267 0.006804506362045876 0.0
-0.08180438062650693 -0.008866343964409872 0.006770568744981649 0.0
-0.08173062780435511 0.007543531745452778 0.006736800392488678 0.0
-0.07840652675174335 0.023571529926683762 0.006703200460356395 0.0
-0.07198049990126708 0.03858206503737759 0.006669768108584745 0.0
-0.06272360398320387 0.051983189635894864 0.006636502501363195 0.0
-0.05101813749976004 0.0632499205778585 0.006603402807049829 0.0
-0.037341880541145026 0.07194478546636597 0.00657046819815057 0.0
-0.022248615565506596 0.07773478601447854 0.006537697851298471 0.0
-0.006345722448957053 0.08040412149780612 0.006505090947233166 0.0
0.009730246478084001 0.07986218738712383 0.006472646670780347 0.0
0.02533902986619506 0.07614655459225643 0.0064403642108314145 0.0
0.039862141303648665 0.06942083585647131 0.006408242760323185 0.0
0.05272736010507017 0.059967549662863405 0.0063762815162177345 0.0
0.06343125980024321 0.04817629043042159 0.006344479679482281 0.0
0.0715588880724095 0.034527698922888386 0.006312836455069258 0.0
0.07679982961253093 0.019573891370461484 0.006281351051896408 0.0
0.07896003105328453 0.003916143369611486 0.0062500226828270085 0.0
0.07796893880006399 -0.011819270156912321 0.006218850564650202 0.0
0.07388168923923452 -0.027006108812981294 0.0061878339180614075 0.0
0.06687628888768521 -0.04104307435187724 0.006156971967642851 0.0
0.057245921626873135 -0.053377602034318294 0.0061262639418441615 0.0
0.0453867132936328 -0.06352759502267237 0.006095709072963092 0.0
0.03178146292976632 -0.07110024761679966 0.006065306597126337 0.0
0.016980007872519083 -0.07580722318433511 0.006035055754270404 0.0
0.001577020424513964 -0.077475601286491 0.00600495578812266 0.0
-0.013811867981859962 -0.07605417969470216 0.005975005946182374 0.0
-0.02857465715753312 -0.07161490381220507 0.005945205479701943 0.0
-0.04212730145745783 -0.06434939094957016 0.0059155536436681505 0.0
-0.05393679991727689 -0.05456071216055736 0.005886049696783552 0.0
-0.06354214100000476 -0.042650782156760665 0.005856692901447939 0.0
-0.07057227960626354 -0.02910388075352249 0.005827482523739898 0.0
-0.07476044614045178 -0.014466980551554993 0.005798417833398462 0.0
-0.07595423680463688 0.0006723207791032962 0.00576949810380487 0.0
-0.07412110483471582 0.015709373954598836 0.0057407226119643604 0.0
-0.06934905721086199 0.030046612162650584 0.005712090638488151 0.0
-0.06184255304441515 0.04311728308374849 0.0056836014675754045 0.0
-0.051913790708611726 0.054407836947059654 0.005655254386995371 0.0
-0.039969753253510765 0.06347808687195153 0.005627048688069559 0.0
