# re(L) im(L) re(|L|^2) im(|L|^2)
-0.9899924966004454 -0.1411200080598672 0.9999999999999999 0.0
-0.9853140681578838 -0.17075182895114532 1.0 0.0
-0.9797489235606842 -0.20022998472177053 0.9999999999999999 0.0
-0.9733020710633487 -0.2295279470212642 1.0 0.0
-0.9659793123979747 -0.25861934966111083 1.0 0.0
-0.9577872375530904 -0.2874780123425444 1.0 0.0
-0.948733218843107 -0.3160779642170538 1.0 0.0
-0.9388254042737362 -0.34439346725839 0.9999999999999999 0.0
-0.9280727102093326 -0.3723990394250557 1.0 0.0
-0.9164848133487693 -0.4000694775924195 1.0 0.0
-0.9040721420170612 -0.4273798802338298 1.0 0.0
-0.8908458667805764 -0.45430566983030646 1.0 0.0
-0.8768178903942815 -0.48082261498864826 1.0 0.0
-0.8620008370900635 -0.5069068522480534 1.0 0.0
-0.8464080412157756 -0.5325349075556212 1.0 0.0
-0.8300535352352221 -0.557683717391417 0.9999999999999998 0.0
-0.81295203709989 -0.5823306495240819 1.0 0.0
-0.7951189370037843 -0.6064535233783147 1.0 0.0
-0.776570283533293 -0.6300306299958922 1.0 0.0
-0.7573227692245438 -0.6530407515722648 1.0 0.0
-0.7373937155412454 -0.6754631805511511 1.0 0.0
-0.716801057286543 -0.6972777382599378 1.0000000000000002 0.0
-0.6955633264629021 -0.7184647930691263 1.0 0.0
-0.6736996355945609 -0.7390052780594709 1.0 0.0
-0.6512296605275459 -0.7588807081809218 1.0000000000000002 0.0
-0.6281736227227391 -0.7780731968879212 1.0 0.0
-0.6045522710579293 -0.7965654722360868 1.0 0.0
-0.5803868631552219 -0.814340892425796 1.0 0.0
-0.5556991462506128 -0.8313834607786831 1.0 0.0
-0.5305113376229448 -0.8476778401335698 1.0 0.0
-0.5048461045998576 -0.8632093666488737 1.0 0.0
-0.4787265441587202 -0.8779640629990779 0.9999999999999999 0.0
-0.45217616214091194 -0.8919286509533796 0.9999999999999999 0.0
-0.4252188520981522 -0.905090563325201 0.9999999999999999 0.0
-0.397878873789916 -0.9174379552818098 1.0 0.0
-0.3701808313512869 -0.9289597150038693 1.0 0.0
-0.3421496511508982 -0.9396454736853249 1.0 0.0
-0.31381055935888247 -0.9494856148646305 1.0 0.0
